aislado_id,metodo_extraccion,grupo_experimental,replica_biologica,concentracion_mg_ml,crecimiento_mm,porcentaje_inhibicion_hoja,extra_medicion,es_control,hoja_origen,fila_origen
HC19,maceracion,Grupo 1 - H5,2,1.0,44.0,69.56521739130434,10.040874246776138,False,MACERACIÓN,28
HC19,maceracion,Grupo 1 - H5,3,1.0,42.0,52.17391304347826,,False,MACERACIÓN,29
HC20,maceracion,Grupo 1 - H6,1,1.0,30.0,65.21739130434783,62.31884057971015,False,MACERACIÓN,30
HC20,maceracion,Grupo 1 - H6,2,1.0,38.0,65.21739130434783,5.020437123388052,False,MACERACIÓN,31
HC20,maceracion,Grupo 1 - H6,3,1.0,36.0,56.52173913043478,,False,MACERACIÓN,32
HC23,maceracion,Grupo 1 - H7,1,1.0,44.0,100.0,81.60919540229885,False,MACERACIÓN,33
HC23,maceracion,Grupo 1 - H7,2,1.0,42.0,79.3103448275862,17.35594123050743,False,MACERACIÓN,34
HC23,maceracion,Grupo 1 - H7,3,1.0,40.0,65.51724137931035,,False,MACERACIÓN,35
HC26,maceracion,Grupo 3 - H22,1,1.0,,100.0,100.0,False,MACERACIÓN,36
HC26,maceracion,Grupo 3 - H22,2,1.0,,100.0,0.0,False,MACERACIÓN,37
HC26,maceracion,Grupo 3 - H22,3,1.0,,100.0,,False,MACERACIÓN,38
HC27,maceracion,Grupo 1 - H8,1,1.0,44.0,72.0,70.66666666666667,False,MACERACIÓN,39
HC27,maceracion,Grupo 1 - H8,2,1.0,42.0,68.0,2.3094010767585034,False,MACERACIÓN,40
HC27,maceracion,Grupo 1 - H8,3,1.0,40.0,72.0,,False,MACERACIÓN,41
HC28,maceracion,Grupo 1 - H9,1,1.0,46.0,100.0,100.0,False,MACERACIÓN,42
HC28,maceracion,Grupo 1 - H9,2,1.0,36.0,100.0,0.0,False,MACERACIÓN,43
HC28,maceracion,Grupo 1 - H9,3,1.0,40.0,100.0,,False,MACERACIÓN,44
H4B,maceracion,Grupo 4 - H29,1,1.0,40.0,100.0,93.13725490196077,False,MACERACIÓN,45
H4B,maceracion,Grupo 4 - H29,2,1.0,46.0,100.0,11.886623189198318,False,MACERACIÓN,46
H4B,maceracion,Grupo 4 - H29,3,1.0,42.0,79.41176470588235,,False,MACERACIÓN,47
H6B,maceracion,Grupo 4 - H30,1,1.0,38.0,100.0,92.82051282051282,False,MACERACIÓN,48
H6B,maceracion,Grupo 4 - H30,2,1.0,46.0,100.0,12.435236567161278,False,MACERACIÓN,49
H6B,maceracion,Grupo 4 - H30,3,1.0,40.0,78.46153846153847,,False,MACERACIÓN,50
