aislado_id,metodo_extraccion,grupo_experimental,replica_biologica,concentracion_mg_ml,conidias_log10,porcentaje_inhibicion_hoja,extra_medicion,es_control,hoja_origen,fila_origen,conidias_crudo,control_conidias_log10,control_conidias_crudo
H3N,maceracion,Grupo 2 - H12,1,5.0,5.8,24.28198433420366,27.15404699738904,False,MACERACIÓN,66,630957.344480193,7.66,45708818.96148752
H3N,maceracion,Grupo 2 - H12,2,5.0,5.76,24.80417754569191,4.529856807545021,False,MACERACIÓN,67,575439.9373371566,7.66,45708818.96148752
H3N,maceracion,Grupo 2 - H12,3,5.0,5.18,32.375979112271544,,False,MACERACIÓN,68,151356.12484362072,7.66,45708818.96148752
H4B,maceracion,Grupo 4 - H29,1,0.0,7.97,25.09410288582184,24.759514847344203,True,MACERACIÓN,45,93325430.07969904,7.97,93325430.07969905
H4B,maceracion,Grupo 4 - H29,2,0.0,,25.345043914680044,0.8066625479709716,True,MACERACIÓN,46,,7.97,93325430.07969905
H4B,maceracion,Grupo 4 - H29,3,0.0,,23.83939774153073,,True,MACERACIÓN,47,,7.97,93325430.07969905
H4B,maceracion,Grupo 4 - H29,1,0.2,8.0,25.09410288582184,24.759514847344203,False,MACERACIÓN,45,100000000.0,7.97,93325430.07969905
H4B,maceracion,Grupo 4 - H29,2,0.2,7.45,25.345043914680044,0.8066625479709716,False,MACERACIÓN,46,28183829.31264455,7.97,93325430.07969905
H4B,maceracion,Grupo 4 - H29,3,0.2,7.83,23.83939774153073,,False,MACERACIÓN,47,67608297.53919819,7.97,93325430.07969905
H4B,maceracion,Grupo 4 - H29,1,1.0,8.0,25.09410288582184,24.759514847344203,False,MACERACIÓN,45,100000000.0,7.97,93325430.07969905
H4B,maceracion,Grupo 4 - H29,2,1.0,7.9,25.345043914680044,0.8066625479709716,False,MACERACIÓN,46,79432823.47242822,7.97,93325430.07969905
H4B,maceracion,Grupo 4 - H29,3,1.0,7.95,23.83939774153073,,False,MACERACIÓN,47,89125093.8133746,7.97,93325430.07969905
H4B,maceracion,Grupo 4 - H29,1,5.0,5.97,25.09410288582184,24.759514847344203,False,MACERACIÓN,45,933254.3007969904,7.97,93325430.07969905
H4B,maceracion,Grupo 4 - H29,2,5.0,5.95,25.345043914680044,0.8066625479709716,False,MACERACIÓN,46,891250.9381337459,7.97,93325430.07969905
H4B,maceracion,Grupo 4 - H29,3,5.0,6.07,23.83939774153073,,False,MACERACIÓN,47,1174897.5549395303,7.97,93325430.07969905
H4G,maceracion,Grupo 4 - H31,1,0.0,7.66,23.62924281984335,20.104438642297648,True,MACERACIÓN,51,45708818.96148752,7.66,45708818.96148752
H4G,maceracion,Grupo 4 - H31,2,0.0,,20.757180156657963,3.892441649053698,True,MACERACIÓN,52,,7.66,45708818.96148752
H4G,maceracion,Grupo 4 - H31,3,0.0,,15.92689295039164,,True,MACERACIÓN,53,,7.66,45708818.96148752
H4G,maceracion,Grupo 4 - H31,1,0.2,8.23,23.62924281984335,20.104438642297648,False,MACERACIÓN,51,169824365.2461746,7.66,45708818.96148752
H4G,maceracion,Grupo 4 - H31,2,0.2,7.72,20.757180156657963,3.892441649053698,False,MACERACIÓN,52,52480746.02497723,7.66,45708818.96148752
H4G,maceracion,Grupo 4 - H31,3,0.2,8.02,15.92689295039164,,False,MACERACIÓN,53,104712854.80508985,7.66,45708818.96148752
H4G,maceracion,Grupo 4 - H31,1,1.0,7.97,23.62924281984335,20.104438642297648,False,MACERACIÓN,51,93325430.07969904,7.66,45708818.96148752
H4G,maceracion,Grupo 4 - H31,2,1.0,8.03,20.757180156657963,3.892441649053698,False,MACERACIÓN,52,107151930.52376048,7.66,45708818.96148752
H4G,maceracion,Grupo 4 - H31,3,1.0,7.48,15.92689295039164,,False,MACERACIÓN,53,30199517.20402019,7.66,45708818.96148752
H4G,maceracion,Grupo 4 - H31,1,5.0,5.85,23.62924281984335,20.104438642297648,False,MACERACIÓN,51,707945.7843841374,7.66,45708818.96148752
H4G,maceracion,Grupo 4 - H31,2,5.0,6.07,20.757180156657963,3.892441649053698,False,MACERACIÓN,52,1174897.5549395303,7.66,45708818.96148752
H4G,maceracion,Grupo 4 - H31,3,5.0,6.44,15.92689295039164,,False,MACERACIÓN,53,2754228.703338169,7.66,45708818.96148752
H4N,maceracion,Grupo 2 - H13,1,0.0,7.04,23.86363636363636,24.100378787878785,True,MACERACIÓN,69,10964781.961431852,7.04,10964781.961431852
H4N,maceracion,Grupo 2 - H13,2,0.0,,21.02272727272728,3.202592153993561,True,MACERACIÓN,70,,7.04,10964781.961431852
H4N,maceracion,Grupo 2 - H13,3,0.0,,27.414772727272723,,True,MACERACIÓN,71,,7.04,10964781.961431852
H4N,maceracion,Grupo 2 - H13,1,0.2,6.48,23.86363636363636,24.100378787878785,False,MACERACIÓN,69,3019951.720402019,7.04,10964781.961431852
H4N,maceracion,Grupo 2 - H13,2,0.2,7.19,21.02272727272728,3.202592153993561,False,MACERACIÓN,70,15488166.189124828,7.04,10964781.961431852
H4N,maceracion,Grupo 2 - H13,3,0.2,7.43,27.414772727272723,,False,MACERACIÓN,71,26915348.03926913,7.04,10964781.961431852
H4N,maceracion,Grupo 2 - H13,1,1.0,6.57,23.86363636363636,24.100378787878785,False,MACERACIÓN,69,3715352.290971728,7.04,10964781.961431852
H4N,maceracion,Grupo 2 - H13,2,1.0,6.46,21.02272727272728,3.202592153993561,False,MACERACIÓN,70,2884031.503126606,7.04,10964781.961431852
H4N,maceracion,Grupo 2 - H13,3,1.0,6.54,27.414772727272723,,False,MACERACIÓN,71,3467368.504525317,7.04,10964781.961431852
H4N,maceracion,Grupo 2 - H13,1,5.0,5.36,23.86363636363636,24.100378787878785,False,MACERACIÓN,69,229086.76527677747,7.04,10964781.961431852
H4N,maceracion,Grupo 2 - H13,2,5.0,5.56,21.02272727272728,3.202592153993561,False,MACERACIÓN,70,363078.054770101,7.04,10964781.961431852
H4N,maceracion,Grupo 2 - H13,3,5.0,5.11,27.414772727272723,,False,MACERACIÓN,71,128824.95516931349,7.04,10964781.961431852
H5N,maceracion,Grupo 2 - H14,1,0.0,7.77,26.51222651222651,28.44272844272844,True,MACERACIÓN,72,58884365.53555884,7.77,58884365.53555884
H5N,maceracion,Grupo 2 - H14,2,0.0,,32.04633204633204,3.123464890479175,True,MACERACIÓN,73,,7.77,58884365.53555884
H5N,maceracion,Grupo 2 - H14,3,0.0,,26.76962676962676,,True,MACERACIÓN,74,,7.77,58884365.53555884
H5N,maceracion,Grupo 2 - H14,1,0.2,,26.51222651222651,28.44272844272844,False,MACERACIÓN,72,,7.77,58884365.53555884
H5N,maceracion,Grupo 2 - H14,2,0.2,,32.04633204633204,3.123464890479175,False,MACERACIÓN,73,,7.77,58884365.53555884
H5N,maceracion,Grupo 2 - H14,3,0.2,,26.76962676962676,,False,MACERACIÓN,74,,7.77,58884365.53555884
H5N,maceracion,Grupo 2 - H14,1,1.0,,26.51222651222651,28.44272844272844,False,MACERACIÓN,72,,7.77,58884365.53555884
H5N,maceracion,Grupo 2 - H14,2,1.0,,32.04633204633204,3.123464890479175,False,MACERACIÓN,73,,7.77,58884365.53555884
H5N,maceracion,Grupo 2 - H14,3,1.0,,26.76962676962676,,False,MACERACIÓN,74,,7.77,58884365.53555884
H5N,maceracion,Grupo 2 - H14,1,5.0,5.71,26.51222651222651,28.44272844272844,False,MACERACIÓN,72,512861.3839913648,7.77,58884365.53555884
H5N,maceracion,Grupo 2 - H14,2,5.0,5.28,32.04633204633204,3.123464890479175,False,MACERACIÓN,73,190546.07179632483,7.77,58884365.53555884
H5N,maceracion,Grupo 2 - H14,3,5.0,5.69,26.76962676962676,,False,MACERACIÓN,74,489778.81936844665,7.77,58884365.53555884
H6B,maceracion,Grupo 4 - H30,1,0.0,7.94,31.360201511335013,24.68513853904282,True,MACERACIÓN,48,87096358.99560814,7.94,87096358.99560814
H6B,maceracion,Grupo 4 - H30,2,0.0,,20.15113350125945,5.903295539172794,True,MACERACIÓN,49,,7.94,87096358.99560814
H6B,maceracion,Grupo 4 - H30,3,0.0,,22.544080604534003,,True,MACERACIÓN,50,,7.94,87096358.99560814
H6B,maceracion,Grupo 4 - H30,1,0.2,7.9,31.360201511335013,24.68513853904282,False,MACERACIÓN,48,79432823.47242822,7.94,87096358.99560814
H6B,maceracion,Grupo 4 - H30,2,0.2,7.72,20.15113350125945,5.903295539172794,False,MACERACIÓN,49,52480746.02497723,7.94,87096358.99560814
H6B,maceracion,Grupo 4 - H30,3,0.2,8.03,22.544080604534003,,False,MACERACIÓN,50,107151930.52376048,7.94,87096358.99560814
H6B,maceracion,Grupo 4 - H30,1,1.0,8.08,31.360201511335013,24.68513853904282,False,MACERACIÓN,48,120226443.46174131,7.94,87096358.99560814
H6B,maceracion,Grupo 4 - H30,2,1.0,8.11,20.15113350125945,5.903295539172794,False,MACERACIÓN,49,128824955.16931322,7.94,87096358.99560814
H6B,maceracion,Grupo 4 - H30,3,1.0,7.87,22.544080604534003,,False,MACERACIÓN,50,74131024.13009177,7.94,87096358.99560814
H6B,maceracion,Grupo 4 - H30,1,5.0,5.45,31.360201511335013,24.68513853904282,False,MACERACIÓN,48,281838.2931264455,7.94,87096358.99560814
H6B,maceracion,Grupo 4 - H30,2,5.0,6.34,20.15113350125945,5.903295539172794,False,MACERACIÓN,49,2187761.623949552,7.94,87096358.99560814
H6B,maceracion,Grupo 4 - H30,3,5.0,6.15,22.544080604534003,,False,MACERACIÓN,50,1412537.5446227554,7.94,87096358.99560814
H6N,maceracion,Grupo 2 - H15,1,0.0,7.68,22.13541666666666,28.42881944444444,True,MACERACIÓN,75,47863009.2322638,7.68,47863009.2322638
H6N,maceracion,Grupo 2 - H15,2,0.0,,31.25,5.459959038806019,True,MACERACIÓN,76,,7.68,47863009.2322638
H6N,maceracion,Grupo 2 - H15,3,0.0,,31.90104166666666,,True,MACERACIÓN,77,,7.68,47863009.2322638
H6N,maceracion,Grupo 2 - H15,1,0.2,7.18,22.13541666666666,28.42881944444444,False,MACERACIÓN,75,15135612.484362071,7.68,47863009.2322638
H6N,maceracion,Grupo 2 - H15,2,0.2,7.15,31.25,5.459959038806019,False,MACERACIÓN,76,14125375.446227554,7.68,47863009.2322638
H6N,maceracion,Grupo 2 - H15,3,0.2,7.12,31.90104166666666,,False,MACERACIÓN,77,13182567.385564074,7.68,47863009.2322638
H6N,maceracion,Grupo 2 - H15,1,1.0,7.36,22.13541666666666,28.42881944444444,False,MACERACIÓN,75,22908676.52767775,7.68,47863009.2322638
H6N,maceracion,Grupo 2 - H15,2,1.0,6.79,31.25,5.459959038806019,False,MACERACIÓN,76,6165950.018614822,7.68,47863009.2322638
H6N,maceracion,Grupo 2 - H15,3,1.0,7.2,31.90104166666666,,False,MACERACIÓN,77,15848931.924611142,7.68,47863009.2322638
H6N,maceracion,Grupo 2 - H15,1,5.0,5.98,22.13541666666666,28.42881944444444,False,MACERACIÓN,75,954992.5860214368,7.68,47863009.2322638
H6N,maceracion,Grupo 2 - H15,2,5.0,5.28,31.25,5.459959038806019,False,MACERACIÓN,76,190546.07179632483,7.68,47863009.2322638
H6N,maceracion,Grupo 2 - H15,3,5.0,5.23,31.90104166666666,,False,MACERACIÓN,77,169824.3652461746,7.68,47863009.2322638
H8G,maceracion,Grupo 4 - H32,1,0.0,6.23,100.0,78.59818084537186,True,MACERACIÓN,54,1698243.652461746,6.23,1698243.652461746
H8G,maceracion,Grupo 4 - H32,2,0.0,,100.0,37.06903815021673,True,MACERACIÓN,55,,6.23,1698243.652461746
H8G,maceracion,Grupo 4 - H32,3,0.0,,35.79454253611558,,True,MACERACIÓN,56,,6.23,1698243.652461746
H8G,maceracion,Grupo 4 - H32,1,0.2,4.3,100.0,78.59818084537186,False,MACERACIÓN,54,19952.62314968879,6.23,1698243.652461746
H8G,maceracion,Grupo 4 - H32,2,0.2,4.48,100.0,37.06903815021673,False,MACERACIÓN,55,30199.51720402019,6.23,1698243.652461746
H8G,maceracion,Grupo 4 - H32,3,0.2,4.9,35.79454253611558,,False,MACERACIÓN,56,79432.82347242821,6.23,1698243.652461746
H8G,maceracion,Grupo 4 - H32,1,1.0,4.0,100.0,78.59818084537186,False,MACERACIÓN,54,10000.0,6.23,1698243.652461746
H8G,maceracion,Grupo 4 - H32,2,1.0,4.48,100.0,37.06903815021673,False,MACERACIÓN,55,30199.51720402019,6.23,1698243.652461746
H8G,maceracion,Grupo 4 - H32,3,1.0,0.0,35.79454253611558,,False,MACERACIÓN,56,1.0,6.23,1698243.652461746
H8G,maceracion,Grupo 4 - H32,1,5.0,0.0,100.0,78.59818084537186,False,MACERACIÓN,54,1.0,6.23,1698243.652461746
H8G,maceracion,Grupo 4 - H32,2,5.0,0.0,100.0,37.06903815021673,False,MACERACIÓN,55,1.0,6.23,1698243.652461746
H8G,maceracion,Grupo 4 - H32,3,5.0,4.0,35.79454253611558,,False,MACERACIÓN,56,10000.0,6.23,1698243.652461746
